"ID1","ID2","UD_DIAM","LD_DIAM","E_LD_DIAM","BAND","MU_LAMBDA","METHOD","BANDCODE","NOTES","BIBCODE","SINPE"
"HD360","","","0.906","0.014","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD3750","","","1.003","0.019","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD4211","","","1.1","0.009","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD5722","","","0.995","0.018","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD8651","","","1.228","0.011","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD9362","","","2.301","0.017","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD10142","","","0.964","0.004","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD11977","","","1.528","0.01","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD12438","","","1.091","0.015","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD13468","","","0.886","0.009","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD15220","","","1.185","0.015","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD15248","","","0.949","0.018","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD15779","","","1.185","0.013","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD16815","","","2.248","0.009","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD17652","","","1.835","0.01","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD17824","","","1.391","0.013","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD18784","","","1.036","0.013","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD23319","","","2.033","0.01","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD23526","","","0.915","0.02","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD23940","","","1.093","0.02","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD30814","","","1.31","0.008","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD36874","","","1.118","0.01","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD39523","","","1.939","0.013","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD39640","","","1.251","0.016","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD39910","","","1.09","0.006","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD40020","","","1.012","0.022","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD43899","","","1.264","0.016","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD46116","","","1.145","0.03","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD53629","","","1.065","0.023","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD56160","","","1.411","0.01","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD60060","","","0.948","0.009","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD60341","","","1.19","0.021","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD62713","","","1.446","0.01","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD68312","","","1.02","0.022","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD74622","","","1.02","0.014","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD75916","","","1.013","0.02","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD176704","","","1.317","0.01","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD191584","","","1.024","0.021","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD219784","","","2.117","0.023","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD220572","","","1.092","0.012","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD204381","","","1.524","0.015","H","","1","7","limb-darkened diameter obtention is unclear (mu_lambda?)","2019Natur.567..200P",""
"HD181096","HR7322","0.435","0.443","0.007","R","0.22","1","4","UD to LD coeff from White et al (in prep)","2019MNRAS.489..928S",""
"HD188041","","0.238","0.246","0.005","R","","1","4","UD to LD Coefficents from 2011A&A...529A..75C","2019MNRAS.488.2343R",""
